,precision,recall,f1-score,support
0,0.9845320959010054,0.9332844574780058,0.9582235604064735,1364.0
1,0.8485033598045205,0.9619113573407202,0.901655306718598,1444.0
2,0.9936305732484076,0.9936305732484076,0.9936305732484076,785.0
3,0.8550106609808102,0.9593301435406698,0.9041713641488162,1254.0
4,0.8450889914304548,0.9953416149068323,0.9140819964349376,1288.0
5,0.9929577464788732,0.8571428571428571,0.9200652528548123,329.0
6,0.9423380726698263,0.8137789904502046,0.8733528550512445,1466.0
7,0.9558173784977909,0.48288690476190477,0.6416213544241226,1344.0
8,0.6787916152897657,0.7130829015544041,0.6955148452305748,1544.0
9,0.7173382173382173,0.830975954738331,0.7699868938401049,1414.0
10,0.9116438356164384,0.8553984575835476,0.8826259946949602,1556.0
11,0.7108050847457628,0.4728682170542636,0.5679221328819298,1419.0
12,0.45241809672386896,0.932475884244373,0.6092436974789917,622.0
13,0.9785992217898832,1.0,0.9891838741396263,503.0
14,0.9936868686868687,0.998730964467005,0.9962025316455696,788.0
accuracy,0.8293808411214953,0.8293808411214953,0.8293808411214953,0.8293808411214953
macro avg,0.8574107879468329,0.8533892852341016,0.8411654822132779,17120.0
weighted avg,0.8497519464994433,0.8293808411214953,0.8264574861027386,17120.0
,precision,recall,f1-score,support
0,0.966044142614601,0.8343108504398827,0.8953579858379229,1364.0
1,0.9919064748201439,0.7638504155124654,0.8630672926447575,1444.0
2,0.9265060240963855,0.9796178343949045,0.9523219814241486,785.0
3,0.6860613810741688,0.8556618819776715,0.7615330021291696,1254.0
4,0.8952654232424677,0.968944099378882,0.9306487695749441,1288.0
5,0.568935427574171,0.9908814589665653,0.7228381374722838,329.0
6,0.7341772151898734,0.7517053206002728,0.7428378833838895,1466.0
7,0.7992895204262878,0.6696428571428571,0.7287449392712549,1344.0
8,0.6690687361419069,0.7817357512953368,0.7210274790919952,1544.0
9,0.8642765685019206,0.9547383309759547,0.9072580645161289,1414.0
10,0.9868791002811621,0.6767352185089974,0.8028974456728937,1556.0
11,0.7710566615620215,0.7096546863988724,0.7390825688073396,1419.0
12,0.633419689119171,0.7861736334405145,0.7015781922525108,622.0
13,0.9599236641221374,1.0,0.9795520934761441,503.0
14,0.976456009913259,1.0,0.9880877742946709,788.0
accuracy,0.8210280373831775,0.8210280373831775,0.8210280373831775,0.8210280373831775
macro avg,0.8286177359119783,0.8482434892688784,0.8291222406566702,17120.0
weighted avg,0.8387601845464243,0.8210280373831775,0.8222488859523598,17120.0
,precision,recall,f1-score,support
0,0.8312586445366529,0.8812316715542522,0.8555160142348756,1364.0
1,0.5883134130146083,0.6135734072022161,0.600677966101695,1444.0
2,1.0,0.9821656050955414,0.9910025706940874,785.0
3,0.8465116279069768,0.8708133971291866,0.8584905660377359,1254.0
4,0.8641875505254648,0.8299689440993789,0.8467326732673268,1288.0
5,0.7780548628428927,0.9483282674772037,0.8547945205479452,329.0
6,0.8516129032258064,0.7203274215552524,0.7804878048780488,1466.0
7,0.750580945003873,0.7209821428571429,0.7354838709677419,1344.0
8,0.7836338418862691,0.7318652849740933,0.7568653717347622,1544.0
9,0.8720626631853786,0.7086280056577087,0.7818962153726102,1414.0
10,0.8658623136976579,0.7840616966580977,0.8229342327150084,1556.0
11,0.7846924177396281,0.7730796335447498,0.7788427405040823,1419.0
12,0.5556650246305419,0.9067524115755627,0.6890653634697618,622.0
13,0.6957123098201936,1.0,0.8205546492659054,503.0
14,0.9825436408977556,1.0,0.9911949685534591,788.0
accuracy,0.7979556074766355,0.7979556074766355,0.7979556074766355,0.7979556074766355
macro avg,0.8033794772609133,0.8314518592920257,0.8109693018896699,17120.0
weighted avg,0.8078145296023705,0.7979556074766355,0.7988058245612212,17120.0
,precision,recall,f1-score,support
0,0.8270158511371468,0.8797653958944281,0.8525754884547068,1364.0
1,0.8573584905660377,0.7867036011080333,0.8205128205128206,1444.0
2,0.9715346534653465,1.0,0.9855618330194602,785.0
3,0.8368421052631579,0.8875598086124402,0.8614551083591331,1254.0
4,0.928436911487759,0.765527950310559,0.8391489361702128,1288.0
5,1.0,0.8541033434650456,0.921311475409836,329.0
6,0.8321823204419889,0.8219645293315143,0.827041866849691,1466.0
7,0.7926605504587156,0.6428571428571429,0.7099424815119147,1344.0
